session,root,project,start_utc,end_utc,duration_h,boundaries,boundaries_per_hour,max_boundaries_per_60min
e9cb8e47,.claude,8fa4f658f022,2026-08-31T14:21:48.534Z,2026-09-04T20:38:31.086Z,102.278,232,2.268,9
2ac9cebc,.claude,5767de0b55fb,2026-09-04T14:23:06.928Z,2026-09-08T14:38:02.108Z,96.249,220,2.286,10
16ec6721,.claude,6861cdbd6fc5,2026-09-11T16:51:22.761Z,2026-09-14T20:41:55.004Z,75.842,174,2.294,25
2b447963,.claude,450537a9d60a,2026-09-08T16:09:00.165Z,2026-09-10T19:45:29.322Z,51.608,160,3.1,10
87a50dfc,.claude,d92fd561d904,2026-09-08T16:37:21.795Z,2026-09-10T20:34:13.217Z,51.948,158,3.042,9
b6bcc0b2,.claude,1bfcedb1f792,2026-09-11T14:29:18.864Z,2026-09-14T14:27:56.977Z,71.977,139,1.931,11
e2ea0027,.claude,4d4886f7e577,2026-09-08T20:59:57.557Z,2026-09-11T20:19:13.587Z,71.321,92,1.29,10
3e109a85,.claude,5d330dd42e1a,2026-09-11T22:37:32.677Z,2026-09-14T20:42:14.255Z,70.078,89,1.27,11
2dedf3bd,.claude,424f57b2a640,2026-09-11T22:43:52.971Z,2026-09-14T20:42:14.205Z,69.973,88,1.258,9
4ad9a9fd,.claude,6820d9dca614,2026-09-11T22:39:07.797Z,2026-09-14T15:17:32.385Z,64.64,83,1.284,11
0d22215b,.claude,c00bdeac6cc0,2026-09-03T01:44:43.992Z,2026-09-04T05:32:19.252Z,27.793,81,2.914,10
fce854a0,.claude,c49979462828,2026-09-02T20:48:47.424Z,2026-09-04T07:33:37.446Z,34.747,78,2.245,8
d7da2152,.claude,54ca74b41d6f,2026-08-20T15:01:16.951Z,2026-08-21T16:07:24.148Z,25.102,77,3.067,6
c88f9194,.claude,3e5cefd4d11f,2026-09-04T20:53:19.309Z,2026-09-06T19:33:14.606Z,46.665,76,1.629,8
352f79ea,.claude,2898fa06c193,2026-09-10T20:33:37.166Z,2026-09-11T17:32:57.614Z,20.989,74,3.526,10
849170f8,.claude1,a9a184bd674e,2026-08-30T23:38:27.677Z,2026-09-01T14:05:05.978Z,38.444,74,1.925,5
ec5a488e,.claude,013bd8d5546c,2026-09-02T20:03:35.173Z,2026-09-04T02:08:46.515Z,30.086,72,2.393,10
92bae489,.claude,4124d17e0121,2026-09-07T15:08:07.835Z,2026-09-08T15:48:24.865Z,24.671,71,2.878,8
37ea635d,.claude,db56eb070fdc,2026-09-02T14:23:12.939Z,2026-09-04T03:02:51.369Z,36.661,69,1.882,8
a9a8935c,.claude,07f0eace24a6,2026-09-11T18:04:17.366Z,2026-09-14T19:54:44.390Z,73.841,67,0.907,15
3e1f1ec4,.claude,4657980fde23,2026-08-29T01:34:14.104Z,2026-08-31T02:36:41.529Z,49.041,66,1.346,6
8109eefe,.claude,e367ce20a079,2026-09-07T18:24:08.508Z,2026-09-08T16:37:20.511Z,22.22,65,2.925,8
731ffd75,.claude,837a1b81a27c,2026-09-10T20:07:46.645Z,2026-09-11T20:19:12.935Z,24.191,61,2.522,18
1449c884,.claude,59d3b5bc76fa,2026-09-11T23:01:47.979Z,2026-09-14T14:42:11.823Z,63.673,57,0.895,13
ea882684,.claude1,52be82a12d0b,2026-08-31T18:50:06.101Z,2026-09-01T17:54:11.904Z,23.068,54,2.341,5
